depositor_address,glm_locked_balance
0x1fae8f99e9f932bdba910061590c2156ee512a91,35000
0xa456457fbf69851046b1bd47c565874806baee63,31587.106047118534
0xeeee5d271a56aa09c4f8862af514add3e882857c,30332.87348554
0xcd0d4cdb238eec15fcf4ff9d13d5a59051e507d7,25866.202842028513
0x757cc91ccbb88cb0d78d6798d20051d39e5a7296,22073.917377359998
0x9d34535be508876aa1af456fab0dfe6cdf4dd7ee,18892.849240667136
0x2efe744ecc4f6bd55538da57d09dae895c95b223,18300
0xd9e5de13ef1dbc4dfe0ee1bb76276228b9b23d0f,17887.728310990846
0x332f75fd7fd18eb77a4f111365686dae55c971db,17717.695637225275
0x9600e2ee6377dadad7299b120026661c336a5e6d,16388.638853952503
0x98c80268276ac6306f27b6430c49e8d0473d753d,15008.02386335
0x693fa6508bd95bb47a73f82f0f36c738000eb174,13288.669138996225
0xe3f4f3ad70c1190ec480554bbc3ed30285ae0610,12551.484283720565
0xa8cadc2268b01395f8573682fb9dd00bd582e8a0,12479.14529033763
0x3d2b8879f97e413b2609f9844a5fc8db8fe4f6f8,12303
0xd2bc5cb641ae6f7a880c3dd5aee0450b5210be23,11800
0x5d36a202687fd6bd0f670545334bf0b4827cc1e2,11160
0x8f15dc48b16a59de56739fd9c28ad93d841a61db,11159.65957504
0x59dda36bd196ec849838ce2163e6821f946b37dc,10889.029925719999
0x689476323eb5e9a5ded342f54b562fc2c156a522,10872.607480550856
0x1d45c8fa65f6b18e7dae04b2efea332c55696daa,10331.401598510885
0x8da6bd2c9526fd3bb3b1a20540edc4b2f8affe2c,10000
0xc80f6d188f5954d7d5d6705e7d35e02e1ddf3737,10000
0x936d69abcd9acdc89455eefaf744044ffc1ca660,9849.361552045677
0x4d32d90d6535bd4e7eabaa27ee72932cb214bbfa,9550
0x4ada1b9d9fe28abd9585f58cfeed2169a39e1c6b,9490.72529707
0xe868b8c09fd2c8c3f74d54f34f7325ab1c94c71f,9437.342846430312
0x844aeed1b294ef9632c18e73f57ef77d0a23d0e2,9324
0x57dd1517c12659365e59f71129fa9b1611dd18af,8684.62767038681
0xf3b06b503652a5e075d423f97056dfde0c4b066f,8616.413808349182
0x3c114973c0260290c2dbd40323327d996972fceb,8525
0x33878e070db7f70d2953fe0278cd32adf8104572,8280.61698732435
0x05657ae6f037edf3ecc113ba4b344f915bd6155f,7880.9186108491795
0xdd31db93082a3a71b98d37ba26230f8734bd63c3,7431
